platform	reads_per_run_M	read_length	run_time_d	yield_gb	rate_gb_per_dat	reagent_cost	cost_per_gb	hg_30x_cost	cost_per_machine	install_base	max_yield_per_day	max_gb_per_day	hg_per_year
ONT PromethION 48fcells 3000 channels	NA	500-2000000	3	8000	900-2000	1600-625	9.5-2	1440-382	310000	0	4667	0	17033
TMO Ion S5 510 1chip	2 - 3	200-400	0.21	1	4.8	950	950	114000	65000	0	1	0	4
TMO Ion S5 520 1chip	3 - 5	200-600	0.23	1	4.3	1000	500	60000	65000	0	1	0	4
TMO Ion S5 530 1chip	20	200-600	0.29	4	13.8	1200	150	18000	65000	0	4	0	15
TMO Ion Genexus GX5 1chip	48-60	200-400	1.25	9.6-24	NA	3500	104.2-364.6	11196	299000	0	24	0	88
TMO Ion S5 540 1chip	80	200	0.42	15	35.7	1400	93.3	11196	65000	0	15	0	55
TMO Ion S5 550 1chip	130	200	0.5	25	50	1670	66.8	8016	65000	0	25	0	91
MGI DNBSEQ-T10×4RS 8fcells	230000	PE150*	3.5	70000	20000	70000	1	100	NA	6	20000	120000	73000
MGI DNBSEQ-T7 4fcells	20000	PE150*	1	6000	6000	35000	5	450	1000000	20	6000	NA	21900
MGI DNBSEQ-G400RS 2fcells	3600	PE200*	4.54	1440	317	NA	7	700	360000	1	130	NA	475
MGI DNBSEQ-G400RS  HotMPS 2fcells	3600	PE100*	2.25	720	320	NA	5.8	696	360000	1	130	NA	475
DNBSEQ-G50 FCL 1fcell	500	PE150*	1.67	150	90	NA	NA	NA	150000	NA	60	NA	219
DNBSEQ-G50 FCS 1fcell	100	PE150*	1.17	30	26	21600	720	86400	150000	1	26	26	95
DNBSEQ-E5 1fcell	5	100	0.38	0.5	1	NA	NA	NA	NA	1	1	1	4
Genapsys 1M Chip	1	150	1.17	0.2	0.2	100	500	60000	9900	1	30	30	110
Genapsys 16M Chip	10 - 13	300	1.17	3-3.9	NA	299	299	35880	9900	1	30	30	110
Genapsys 50M read (2021)	50	PE150*	1.17	8	NA	599	54	6480	9900	1	30	30	110
Genapsys 144M Chip (2021)	144	PE150*	1.17	30	NA	599	27	3240	9900	1	30	30	110
Genapsys 144M Chip (2021) long	144	PE250*	2	50	NA	599	12	1438	9900	1	30	30	110
GeneMind Bio GenoLab M (2021)	1500	PE100*	NA	300	NA	NA	6-9	600-900	NA	NA	NA	NA	NA
QitanTech QNome-9604	120000	10-40000	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA
